house:bricks, lawn:grass, sock:thread, meal:food, lawn:grass, sock:thread
bread:flour, wall:bricks, evidence:case, box:cardboard, evidence:case, wall:bricks
church:believers, desk:wood, omelette:eggs, sock:thread, church:believers, omelette:eggs
headstone:marble, yogurt:milk, atmosphere:gas, lawn:grass, yogurt:milk, atmosphere:gas
cacophony:howls, desk:wood, meal:courses, body:flesh, cacophony:howls, body:flesh
plastic:polymer, body:flesh, roof:shingles, atmosphere:gas, roof:shingles, plastic:polymer
parrot:bird, cacophony:howls, food:meal, desk:wood, food:meal, parrot:bird
wig:hair, wall:plaster, house:bricks, team:players, team:players, wig:hair
ice:water, sweater:wool, wire:metal, yogurt:milk, yogurt:milk, wire:metal
omelette:eggs, wire:metal, wall:bricks, water:ocean, water:ocean, wall:bricks
meal:food, case:evidence, lawn:grass, headstone:marble, case:evidence, lawn:grass
evidence:case, house:bricks, cocktail:alcohol, clothing:thread, cocktail:alcohol, house:bricks
roof:shingles, yogurt:milk, meal:courses, plastic:polymer, meal:courses, plastic:polymer
ice:water, sweater:wool, glass:silicone, body:flesh, glass:silicone, sweater:wool
wall:plaster, case:evidence, bread:flour, ocean:water, case:evidence, bread:flour
alcohol:wine, clothing:thread, evidence:case, ocean:water, evidence:case, ocean:water
wall:bricks, water:ocean, house:bricks, meal:courses, water:ocean, wall:bricks
cocktail:alcohol, garden:flowers, table:wood, roof:shingles, cocktail:alcohol, table:wood
water:ocean, money:paper, box:cardboard, body:flesh, money:paper, body:flesh
desk:wood, wine:alcohol, cacophony:howls, alcohol:wine, cacophony:howls, desk:wood
ice:water, wig:hair, church:believers, table:wood, church:believers, ice:water
atmosphere:gas, flour:bread, plastic:polymer, capsule:medicine, flour:bread, plastic:polymer
evidence:case, garden:flowers, cocktail:alcohol, concrete:cement, garden:flowers, concrete:cement
atmosphere:gas, flour:bread, yogurt:milk, wire:metal, flour:bread, atmosphere:gas
flour:bread, wig:hair, desk:wood, food:meal, food:meal, desk:wood
alcohol:wine, plastic:polymer, omelette:eggs, garden:flowers, garden:flowers, alcohol:wine
clothing:thread, glass:silicone, desk:wood, concrete:cement, glass:silicone, concrete:cement
roof:shingles, bread:flour, cacophony:howls, house:bricks, cacophony:howls, roof:shingles
wall:plaster, meal:courses, wig:hair, church:believers, church:believers, wig:hair
sweater:wool, garden:flowers, box:cardboard, headstone:marble, garden:flowers, sweater:wool
cocktail:alcohol, flour:bread, glass:silicone, wall:plaster, glass:silicone, cocktail:alcohol
table:wood, meal:courses, alcohol:wine, evidence:case, alcohol:wine, table:wood
omelette:eggs, wall:plaster, roof:shingles, food:meal, food:meal, omelette:eggs
parrot:bird, ocean:water, ice:water, wire:metal, wire:metal, ocean:water
cocktail:alcohol, boots:leather, bread:flour, sock:thread, sock:thread, bread:flour
ocean:water, carpet:fibers, concrete:cement, roof:shingles, concrete:cement, ocean:water
food:meal, box:cardboard, lawn:grass, wall:plaster, food:meal, lawn:grass
