sickness:cough, medal:hero, speaker:stereo, tip:waitress, speaker:stereo, sickness:cough
sneaker:shoelace, check:employee, baby:bottle, waiter:tip, sneaker:shoelace, waiter:tip
sentence:criminal, cough:sickness, certificate:teacher, waiter:tip, sentence:criminal, waiter:tip
sentence:criminal, gift:recipient, ribbon:winner, treatment:patient, sentence:criminal, ribbon:winner
speeder:ticket, education:student, prescription:patient, degree:graduate, speeder:ticket, education:student
speaker:stereo, sneaker:shoelace, fastball:catcher, sentence:criminal, sneaker:shoelace, sentence:criminal
treatment:patient, degree:lawyer, degree:graduate, sneaker:shoelace, sneaker:shoelace, degree:graduate
tip:waiter, employee:check, speaker:stereo, drug:patient, speaker:stereo, tip:waiter
religion:disciple, diploma:graduate, education:student, grant:scientist, grant:scientist, diploma:graduate
award:winner, fastball:catcher, sickness:cough, prescription:patient, fastball:catcher, award:winner
tip:waitress, religion:disciple, ring:bride, treatment:patient, tip:waitress, treatment:patient
rocket:fuel, fastball:catcher, receipt:customer, award:winner, fastball:catcher, award:winner
partner:dancer, tip:waiter, education:student, sneaker:shoelace, sneaker:shoelace, education:student
prescription:patient, diploma:graduate, sickness:cough, rocket:fuel, sickness:cough, prescription:patient
waiter:tip, ticket:speeder, payment:debtor, ribbon:winner, ticket:speeder, ribbon:winner
diploma:student, ticket:speeder, gift:recipient, degree:lawyer, ticket:speeder, gift:recipient
check:employee, rocket:fuel, diploma:graduate, employee:check, rocket:fuel, diploma:graduate
ribbon:winner, partner:dancer, employee:check, grant:scientist, employee:check, grant:scientist
rocket:fuel, ticket:speeder, treatment:patient, religion:disciple, ticket:speeder, treatment:patient
check:employee, waiter:tip, tip:waitress, ring:bride, check:employee, ring:bride
certificate:teacher, ticket:speeder, partner:dancer, drug:patient, partner:dancer, ticket:speeder
partner:dancer, tip:waiter, payment:debtor, employee:check, employee:check, partner:dancer
payment:debtor, certificate:teacher, trophy:champion, ticket:speeder, certificate:teacher, trophy:champion
bottle:baby, religion:disciple, medal:hero, receipt:customer, receipt:customer, medal:hero
sickness:cough, prescription:patient, fastball:catcher, cough:sickness, fastball:catcher, prescription:patient
tip:waitress, baby:parents, ribbon:winner, award:winner, baby:parents, award:winner
check:employee, diploma:student, education:student, trophy:champion, check:employee, trophy:champion
receipt:customer, tip:waiter, trophy:champion, ring:bride, ring:bride, trophy:champion
religion:disciple, ribbon:winner, trophy:champion, speaker:stereo, speaker:stereo, ribbon:winner
sickness:cough, degree:lawyer, check:employee, gift:recipient, degree:lawyer, gift:recipient
ring:bride, prescription:patient, diploma:graduate, degree:lawyer, degree:lawyer, diploma:graduate
