a Y is one item in a collection/group of X
bedding:sheet, instrument:piano, flower:daisy, internet:website, internet:website, bedding:sheet
father:family, appliance:refrigerator, tool:hammer, furniture:desk, father:family, tool:hammer
space:star, tool:hammer, internet:website, worker:librarian, worker:librarian, internet:website
drink:milk, literature:book, shoe:boot, fruit:apple, drink:milk, literature:book
daisy:flower, art:sculpture, internet:website, cordless:phone, cordless:phone, daisy:flower
mineral:mica, shoe:boot, daisy:flower, fish:trout, shoe:boot, fish:trout
dish:bowl, worker:librarian, book:novel, light:lamp, light:lamp, book:novel
refrigerator:appliance, family:father, bird:cardinal, cordless:phone, cordless:phone, bird:cardinal
mammal:gorilla, furniture:desk, cordless:phone, mineral:mica, cordless:phone, mammal:gorilla
art:sculpture, animal:raccoon, shoe:boot, appliance:refrigerator, shoe:boot, art:sculpture
beverage:water, film:drama, literature:book, mammal:gorilla, film:drama, literature:book
daisy:flower, film:drama, beverage:water, meat:beef, film:drama, daisy:flower
instrument:piano, book:novel, furniture:couch, fish:trout, fish:trout, book:novel
beverage:water, art:sculpture, meal:dinner, drink:milk, art:sculpture, beverage:water
animal:raccoon, father:family, color:green, computer:laptop, computer:laptop, animal:raccoon
internet:website, fruit:apple, mammal:gorilla, animal:raccoon, internet:website, mammal:gorilla
color:green, worker:librarian, internet:website, mammal:gorilla, worker:librarian, internet:website
appliance:refrigerator, fruit:apple, phone:cordless, internet:website, phone:cordless, fruit:apple
meat:beef, father:family, pet:cat, bird:cardinal, father:family, meat:beef
container:jug, phone:cordless, cordless:phone, herb:basil, cordless:phone, herb:basil
mineral:mica, computer:laptop, drink:milk, bird:cardinal, computer:laptop, bird:cardinal
seat:couch, light:lamp, worker:librarian, computer:laptop, computer:laptop, seat:couch
appliance:refrigerator, computer:laptop, phone:cordless, worker:librarian, worker:librarian, appliance:refrigerator
bird:cardinal, instrument:piano, phone:cordless, mammal:gorilla, phone:cordless, bird:cardinal
dish:bowl, space:star, flower:daisy, fruit:apple, space:star, flower:daisy
herb:basil pet:cat furniture:desk instrument:piano, pet:cat, furniture:desk
mica:mineral, seat:couch, furniture:desk, film:drama, film:drama, mica:mineral
meat:beef, meal:dinner, mineral:mica, computer:laptop, computer:laptop, meat:beef
internet:website, shoe:boot, mica:mineral, father:family, shoe:boot, father:family
instrument:piano, mineral:mica, meal:dinner, drink:milk, meal:dinner, mineral:mica
space:star, flower:daisy, book:novel, herb:basil, book:novel, herb:basil
flower:daisy, meal:dinner, herb:basil, daisy:flower, daisy:flower, herb:basil
computer:laptop, flower:daisy, currency:dollar, bedding:sheet, computer:laptop, currency:dollar
light:lamp, bedding:sheet, seat:couch, dish:bowl, seat:couch, bedding:sheet
furniture:chair, container:jug, meal:dinner, fish:trout, meal:dinner, furniture:chair
drink:milk, flower:daisy, space:star, shoe:boot, shoe:boot, space:star
meal:dinner, space:star, literature:book, light:lamp, light:lamp, space:star
cordless:phone, worker:librarian, currency:dollar, pet:cat, cordless:phone, currency:dollar
daisy:flower, film:drama, mica:mineral, container:jug, film:drama, daisy:flower
literature:book, refrigerator:appliance, meal:dinner, internet:website, refrigerator:appliance, internet:website
mammal:gorilla, pet:cat, film:drama, bedding:sheet, film:drama, pet:cat
furniture:chair, mammal:gorilla, family:father, film:drama, film:drama, furniture:chair
meal:dinner, film:drama, meat:beef, beverage:water, film:drama, meat:beef
book:novel, father:family, literature:book, fruit:apple, father:family, fruit:apple
appliance:refrigerator, worker:librarian, phone:cordless, animal:raccoon, worker:librarian, appliance:refrigerator
refrigerator:appliance, family:father, phone:cordless, computer:laptop, computer:laptop, refrigerator:appliance
seat:couch, furniture:desk, meat:beef, meal:dinner, furniture:desk, meat:beef
space:star, father:family, furniture:chair, phone:cordless, phone:cordless, furniture:chair
book:novel, furniture:desk, beverage:water, internet:website, internet:website, book:novel
bird:cardinal, mica:mineral, herb:basil, art:sculpture, art:sculpture, bird:cardinal
fish:trout, color:green, worker:librarian, herb:basil, color:green, fish:trout
tool:hammer, furniture:couch, bedding:sheet, shoe:boot, shoe:boot, bedding:sheet
space:star, bedding:sheet, meal:dinner, shoe:boot, shoe:boot, meal:dinner
dish:bowl, family:father, bird:cardinal, fish:trout, dish:bowl, fish:trout
container:jug, daisy:flower, color:green, father:family, container:jug, daisy:flower
book:novel, phone:cordless, fish:trout, family:father, phone:cordless, fish:trout
dish:bowl, animal:raccoon, fruit:apple, refrigerator:appliance, refrigerator:appliance, fruit:apple
mica:mineral, appliance:refrigerator, mineral:mica, animal:raccoon, mineral:mica, mica:mineral
shoe:boot, color:green, furniture:couch, instrument:piano, color:green, furniture:couch
beverage:water, worker:librarian, seat:couch, furniture:chair, worker:librarian, furniture:chair
meat:beef, mica:mineral, color:green, currency:dollar, mica:mineral, currency:dollar
cordless:phone, container:jug, flower:daisy, tool:hammer, cordless:phone, flower:daisy
furniture:couch, mica:mineral, currency:dollar, appliance:refrigerator, mica:mineral, furniture:couch
furniture:chair, flower:daisy, appliance:refrigerator, light:lamp, light:lamp, furniture:chair
pet:cat, seat:couch, tool:hammer, herb:basil, seat:couch, tool:hammer
pet:cat, worker:librarian, mineral:mica, literature:book, worker:librarian, literature:book
fruit:apple, instrument:piano, mammal:gorilla, light:lamp, light:lamp, fruit:apple
furniture:chair, furniture:couch, fruit:apple, mineral:mica, mineral:mica, fruit:apple
fish:trout, bird:cardinal, container:jug, book:novel, container:jug, book:novel
space:star, father:family, dish:bowl, bird:cardinal, dish:bowl, space:star
appliance:refrigerator, family:father, color:green, furniture:couch, color:green, appliance:refrigerator
container:jug, computer:laptop, currency:dollar, daisy:flower, daisy:flower, currency:dollar
flower:daisy, fruit:apple, tool:hammer, mica:mineral, mica:mineral, flower:daisy
seat:couch, meat:beef, herb:basil, fish:trout, seat:couch, herb:basil
herb:basil, literature:book, container:jug, animal:raccoon, animal:raccoon, literature:book
furniture:couch, seat:couch, cordless:phone, mineral:mica, cordless:phone, furniture:couch
animal:raccoon, drink:milk, family:father, pet:cat, drink:milk, family:father
furniture:chair, literature:book, book:novel, father:family, father:family, book:novel
tool:hammer, beverage:water, refrigerator:appliance, drink:milk, beverage:water, refrigerator:appliance
mammal:gorilla, book:novel, meat:beef, herb:basil, book:novel, mammal:gorilla
