someone perform the action X on Y
slay:dragon, plant:flower, forgive:insult, row:boat, plant:flower, slay:dragon
execute:criminal, hunt:deer, learn:skill, boat:row, boat:row, execute:criminal
clean:house, eat:food, mend:clothing, sweep:floor, eat:food, mend:clothing
learn:skill, donate:charity, read:book, mend:clothing, learn:skill, mend:clothing
execute:criminal, clean:floor, sweep:floor, brush:teeth, execute:criminal, brush:teeth
write:paper, paint:picture, learn:skill, charity:donate, charity:donate, paint:picture
clean:house, plant:flower, water:plants, teach:student, plant:flower, teach:student
boat:row, master:craft, sweep:floor, clean:floor, master:craft, sweep:floor
master:craft, visit:sick, forgive:sin, water:plants, master:craft, water:plants
shovel:snow, bike:path, mend:clothing, learn:skill, bike:path, mend:clothing
brush:teeth, execute:criminal, operate:machine, act:scene, execute:criminal, operate:machine
play:instrument, boat:row, cook:meal, plant:flower, boat:row, cook:meal
eat:food, hunt:deer, capture:villain, floor:sweep, floor:sweep, capture:villain
read:book, sew:rip, slay:dragon, nurse:baby, sew:rip, slay:dragon
chant:prayer, plants:water, clean:house, sew:rip, sew:rip, plants:water
operate:machine, shovel:snow, talk:speech, act:scene, talk:speech, operate:machine
paint:canvas, play:instrument, sweep:floor, fight:war, fight:war, sweep:floor
plant:flower, floor:sweep, brush:teeth, mend:clothing, plant:flower, brush:teeth
close:door, slay:dragon, charity:donate, brush:teeth, charity:donate, brush:teeth
shovel:snow, play:instrument, chant:prayer, hunt:deer, play:instrument, shovel:snow
shovel:snow, donate:charity, fight:war, floor:sweep, fight:war, shovel:snow
cook:food, forgive:insult, visit:sick, play:instrument, forgive:insult, cook:food
dig:ditch, teach:student, clean:floor, drain:tub, teach:student, clean:floor
charity:donate, floor:sweep, fight:war, play:instrument, fight:war, play:instrument
write:paper, paint:canvas, operate:machine, nurse:baby, nurse:baby, operate:machine
paint:picture, close:door, master:craft, charity:donate, charity:donate, paint:picture
fight:war, row:boat, eat:food, mend:clothing, fight:war, mend:clothing
insult:forgive, donate:charity, fight:war, floor:sweep, insult:forgive, floor:sweep
paint:picture, cook:food, write:paper, master:craft, master:craft, paint:picture
read:book, clean:floor, plant:flower, clean:house, plant:flower, clean:house
drain:tub, paint:canvas, paint:picture, read:book, paint:picture, drain:tub
plants:water, visit:sick, eat:food, clean:house, visit:sick, clean:house
bike:path, charity:donate, act:scene, write:paper, act:scene, write:paper
operate:machine, cook:meal, boat:row, insult:forgive, insult:forgive, cook:meal
clean:floor, master:craft, cook:meal, donate:charity, master:craft, cook:meal
eat:food, execute:criminal, clean:floor, insult:forgive, insult:forgive, clean:floor
visit:sick, mend:clothing, plant:flower, nurse:baby, plant:flower, nurse:baby
play:instrument, learn:skill, nurse:baby, mend:clothing, learn:skill, play:instrument
learn:skill, nurse:baby, write:paper, dig:ditch, learn:skill, dig:ditch
execute:criminal, paint:canvas, shovel:snow, slay:dragon, execute:criminal, slay:dragon
execute:criminal, act:scene, dig:ditch, donate:charity, act:scene, donate:charity
capture:villain, row:boat, cook:food, water:plants, water:plants, capture:villain
paint:picture, forgive:sin, floor:sweep, forgive:insult, floor:sweep, paint:picture
hunt:deer, row:boat, talk:speech, close:door, talk:speech, hunt:deer
learn:skill, sew:rip, cook:food, donate:charity, sew:rip, donate:charity
execute:criminal, learn:skill, eat:food, capture:villain, capture:villain, execute:criminal
plants:water, insult:forgive, sew:rip, hunt:deer, insult:forgive, hunt:deer
slay:dragon, capture:villain, sew:rip, cook:meal, sew:rip, slay:dragon
eat:food, operate:machine, act:scene, sweep:floor, eat:food, operate:machine
cook:meal, clean:house, paint:canvas, forgive:sin, forgive:sin, cook:meal
drain:tub, floor:sweep, slay:dragon, close:door, floor:sweep, slay:dragon
fight:war, clean:house, act:scene, forgive:sin, fight:war, clean:house
water:plants, dig:ditch, mend:clothing, close:door, water:plants, mend:clothing
clean:house, shovel:snow, bike:path, drain:tub, bike:path, drain:tub
talk:speech, paint:picture, plants:water, teach:student, plants:water, teach:student
forgive:sin, paint:picture, mend:clothing, operate:machine, forgive:sin, operate:machine
operate:machine, clean:house, visit:sick, slay:dragon, visit:sick, slay:dragon
plant:flower, capture:villain, drain:tub, row:boat, plant:flower, row:boat
floor:sweep, read:book, charity:donate, row:boat, floor:sweep, row:boat
cook:food, floor:sweep, insult:forgive, master:craft, insult:forgive, cook:food
donate:charity, boat:row, capture:villain, hunt:deer, boat:row, capture:villain
clean:house, slay:dragon, teach:student, write:paper, clean:house, write:paper
teach:student, chant:prayer, row:boat, paint:canvas, chant:prayer, paint:canvas
forgive:insult, hunt:deer, operate:machine, learn:skill, learn:skill, operate:machine
fight:war, chant:prayer, nurse:baby, brush:teeth, fight:war, brush:teeth
read:book, cook:meal, teach:student, bike:path, bike:path, cook:meal
insult:forgive, write:paper, paint:canvas, play:instrument, insult:forgive, paint:canvas
insult:forgive, bike:path, row:boat, read:book, insult:forgive, read:book
dig:ditch, plants:water, plant:flower, bike:path, bike:path, dig:ditch
brush:teeth, eat:food, sweep:floor, teach:student, eat:food, teach:student
charity:donate, clean:floor, insult:forgive, talk:speech, insult:forgive, clean:floor
bike:path, chant:prayer, teach:student, sew:rip, sew:rip, teach:student
forgive:sin, brush:teeth, act:scene, forgive:insult, brush:teeth, forgive:insult
close:door, play:instrument, paint:picture, fight:war, fight:war, paint:picture
visit:sick, capture:villain, chant:prayer, brush:teeth, visit:sick, brush:teeth
read:book, nurse:baby, talk:speech, hunt:deer, talk:speech, nurse:baby
paint:canvas, cook:food, water:plants, sweep:floor, paint:canvas, cook:food
boat:row, cook:meal, close:door, forgive:insult, boat:row, forgive:insult
plants:water, cook:meal, master:craft, visit:sick, master:craft, cook:meal
write:paper, bike:path, drain:tub, plants:water, bike:path, write:paper
forgive:insult, boat:row, teach:student, close:door, forgive:insult, close:door
water:plants, forgive:insult, chant:prayer, shovel:snow, forgive:insult, shovel:snow
sew:rip, capture:villain, water:plants, clean:floor, sew:rip, clean:floor
act:scene, master:craft, capture:villain, clean:floor, act:scene, clean:floor
bike:path, charity:donate, paint:canvas, hunt:deer, bike:path, hunt:deer
chant:prayer, eat:food, water:plants, sweep:floor, chant:prayer, sweep:floor
boat:row, act:scene, sew:rip, dig:ditch, act:scene, boat:row
plant:flower, act:scene, play:instrument, write:paper, plant:flower, write:paper
fight:war, cook:food, plants:water, operate:machine, fight:war, operate:machine
read:book, talk:speech, slay:dragon, boat:row, boat:row, slay:dragon
drain:tub, talk:speech, chant:prayer, forgive:sin, talk:speech, drain:tub
chant:prayer, charity:donate, visit:sick, talk:speech, charity:donate, chant:prayer
slay:dragon, dig:ditch, visit:sick, talk:speech, talk:speech, slay:dragon
forgive:insult, hunt:deer, master:craft, dig:ditch, master:craft, hunt:deer
bike:path, row:boat, write:paper, visit:sick, bike:path, write:paper
close:door, execute:criminal, read:book, plants:water, plants:water, execute:criminal
sew:rip, row:boat, paint:picture, forgive:insult, sew:rip, paint:picture
donate:charity, clean:floor, sweep:floor, learn:skill, learn:skill, donate:charity
